,label_A,label_B,pair,pair_odr,cooccurrence_count_human,label_A_count_human,label_B_count_human,Jaccard_index_human,Tversky_index_human,distance,common_parent_count,w_distance_GT,similarity_GT,jcl_category_A,dbp_category_A,jcl_category_B,dbp_category_B,similarity_DBP,w_distance_DBP,cooccurrence_count_pred,label_A_count_pred,label_B_count_pred,Jaccard_index_pred,Tversky_index_pred
39,arbre,ange,"(arbre, ange)","(ange, arbre)",243.0,12757.0,3780.0,0.014913465079170247,0.06428571428571428,100,0,3.625,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,0.0004599,0.9995401,474.0,21161.0,15896.0,0.01295683787551595,0.029818822345244085
40,arbre,armure,"(arbre, armure)","(arbre, armure)",75.0,12757.0,1916.0,0.005137690094533498,0.03914405010438413,100,0,3.8125,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-5532,http://fr.dbpedia.org/resource/Catégorie:Armure,0.007716,0.992284,43.0,21161.0,6087.0,0.001580591802977394,0.007064235255462461
41,arbre,bateau,"(arbre, bateau)","(arbre, bateau)",804.0,12757.0,5787.0,0.04532130777903044,0.13893208916537067,100,0,3.8125,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6294,http://fr.dbpedia.org/resource/Catégorie:Bateau,0.00057266,0.99942734,1086.0,21161.0,15059.0,0.030910229407411623,0.07211634238661266
42,arbre,bateau à voiles,"(arbre, bateau à voiles)","(arbre, bateau à voiles)",212.0,12757.0,2067.0,0.014508623049548317,0.10256410256410256,100,0,3.84375,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6319,http://fr.dbpedia.org/resource/Catégorie:Voilier,0.00087806,0.99912194,127.0,21161.0,5725.0,0.004746066743899249,0.022183406113537116
43,arbre,casque,"(arbre, casque)","(arbre, casque)",89.0,12757.0,1717.0,0.006187000347584289,0.05183459522422831,100,0,3.8125,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-5535,http://fr.dbpedia.org/resource/Catégorie:Casque,0.0077543,0.9922457,65.0,21161.0,5960.0,0.0024024246008279124,0.010906040268456376
44,arbre,cavalier,"(arbre, cavalier)","(arbre, cavalier)",304.0,12757.0,2598.0,0.02019799348880473,0.1170130869899923,100,0,3.8671875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6209,http://fr.dbpedia.org/resource/Catégorie:Équitation,0.00076425,0.99923575,569.0,21161.0,7375.0,0.020345407086923874,0.07715254237288136
45,arbre,chapeau,"(arbre, chapeau)","(arbre, chapeau)",334.0,12757.0,3375.0,0.021141916698316242,0.09896296296296296,100,0,3.8125,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-2657,http://fr.dbpedia.org/resource/Catégorie:Chapeau,3.3984e-06,0.9999966016,286.0,21161.0,9109.0,0.009538420490928495,0.031397518937314746
46,arbre,cheval,"(arbre, cheval)","(arbre, cheval)",513.0,12757.0,7385.0,0.026134800550206328,0.06946513202437372,11,1,1.87109375,0.064453125,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-2037,http://fr.dbpedia.org/resource/Catégorie:Cheval,0.00076425,0.99923575,1011.0,21161.0,23320.0,0.023257418909592823,0.043353344768439106
47,arbre,chien,"(arbre, chien)","(arbre, chien)",702.0,12757.0,3942.0,0.04388322810526974,0.1780821917808219,11,1,1.87109375,0.064453125,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1950,http://fr.dbpedia.org/resource/Catégorie:Chien,0.00076425,0.99923575,2218.0,21161.0,9333.0,0.07844108077521574,0.2376513446908818
48,arbre,château,"(arbre, château)","(arbre, château)",450.0,12757.0,3191.0,0.029036004645760744,0.14102162331557505,100,0,3.8125,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-2736,http://fr.dbpedia.org/resource/Catégorie:Château,0.19084,0.80916,1124.0,21161.0,8349.0,0.03959698442894385,0.1346269014253204
49,arbre,couronne,"(arbre, couronne)","(arbre, couronne)",311.0,12757.0,3746.0,0.01920701581027668,0.08302189001601709,100,0,3.8125,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-3473,http://fr.dbpedia.org/resource/Catégorie:Couronne,3.3984e-06,0.9999966016,362.0,21161.0,10141.0,0.011700064641241112,0.035696676856325806
50,arbre,croix,"(arbre, croix)","(arbre, croix)",221.0,12757.0,2717.0,0.014488952992853864,0.08133971291866028,100,0,3.75,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-8619,http://fr.dbpedia.org/resource/Catégorie:Croix,3.1829e-05,0.999968171,540.0,21161.0,9513.0,0.017919957523063648,0.05676442762535478
51,arbre,de face,"(arbre, de face)","(arbre, de face)",100.0,12757.0,3889.0,0.006043756799226399,0.025713551041398816,100,0,3.75,0.0,,,,,,,87.0,21161.0,13826.0,0.002492836676217765,0.006292492405612614
52,arbre,de profil,"(arbre, de profil)","(arbre, de profil)",119.0,12757.0,5661.0,0.006503087600415324,0.021021021021021023,100,0,3.75,0.0,,,,,,,74.0,21161.0,18974.0,0.0018471830458550711,0.0039000737851797194
53,arbre,drapeau,"(arbre, drapeau)","(arbre, drapeau)",148.0,12757.0,1507.0,0.010484556531595354,0.0982083609820836,100,0,3.75,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-3562,http://fr.dbpedia.org/resource/Catégorie:Drapeau,3.1798e-05,0.999968202,100.0,21161.0,2961.0,0.004162850720173175,0.033772374197906116
54,arbre,draperie,"(arbre, draperie)","(arbre, draperie)",108.0,12757.0,3225.0,0.006803578178152954,0.03348837209302326,100,0,3.84375,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-3087,http://fr.dbpedia.org/resource/Catégorie:Textile,3.4287e-06,0.9999965713,113.0,21161.0,15977.0,0.003051991897366644,0.007072666958753208
55,arbre,en buste,"(arbre, en buste)","(arbre, en buste)",114.0,12757.0,10914.0,0.0048393258903935135,0.010445299615173173,100,0,3.8125,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-175,http://fr.dbpedia.org/resource/Catégorie:Buste,0.00045172,0.99954828,39.0,21161.0,19996.0,0.0009484897125346563,0.001950390078015603
56,arbre,feuille,"(arbre, feuille)","(arbre, feuille)",261.0,12757.0,2288.0,0.01765422077922078,0.11407342657342658,5,2,0.8125,0.59375,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1040,http://fr.dbpedia.org/resource/Catégorie:Feuille,4.0372e-15,0.999999999999996,904.0,21161.0,9237.0,0.030650301756289414,0.09786727292410956
57,arbre,fleur,"(arbre, fleur)","(arbre, fleur)",1015.0,12757.0,10443.0,0.0457516339869281,0.0971942928277315,4,2,0.75,0.625,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1220,http://fr.dbpedia.org/resource/Catégorie:Arbre,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1051,http://fr.dbpedia.org/resource/Catégorie:Fleur,0.00089619,0.99910381,2387.0,21161.0,18813.0,0.06350599941469125,0.1268803486950513
